Approx Module;VVenC Profile;Video;Read BER;Write BER;QP;Rep.;YUV-PSNR;Bitrate;Execution Time
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_04;1E_04;37;1;33.7146;701.9294;4166.734
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_04;1E_04;37;2;33.7321;702.1271;4131.613
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_04;1E_04;37;3;33.7469;701.5341;4109.024
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_04;1E_04;37;4;33.7785;703.7082;4094.398
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_05;1E_05;22;0;41.4442;4129.8635;8466.789
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_05;1E_05;22;1;41.4447;4128.2824;8577.989
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_05;1E_05;22;2;41.4435;4134.5506;8598.493
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_05;1E_05;22;3;41.4473;4127.7741;8513.171
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_05;1E_05;22;4;41.44;4123.4824;8562.664
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_05;1E_05;27;0;39.1013;2223.7835;6585.393
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_05;1E_05;27;1;39.0985;2221.4682;6547.523
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_05;1E_05;27;2;39.0992;2226.6353;6595.936
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_05;1E_05;27;3;39.0868;2223.5294;6623.677
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_05;1E_05;27;4;39.0974;2224.32;6629.14
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_05;1E_05;32;0;36.4511;1253.9294;5000.907
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_05;1E_05;32;1;36.47;1258.7859;5038.471
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_05;1E_05;32;2;36.441;1253.0259;5041.911
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_05;1E_05;32;3;36.4579;1254.9741;5045.787
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_05;1E_05;32;4;36.4641;1255.1718;5019.865
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_05;1E_05;37;0;33.7568;703.8212;4130.325
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_05;1E_05;37;1;33.7669;704.4706;4159.492
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_05;1E_05;37;2;33.7562;704.5835;4120.556
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_05;1E_05;37;3;33.7221;702.72;4091.355
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_05;1E_05;37;4;33.7357;704.0753;4136.746
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_06;1E_06;22;0;41.4491;4134.7765;8453.933
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_06;1E_06;22;1;41.4523;4131.6424;8491.793
