Approx Module;VVenC Profile;Video;Read BER;Write BER;BD-Rate;BD-PSNR
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_03;1E_03;0.19536516852860508;-0.008415182743034313
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_03;1E_03;0.30784103870153956;-0.012944333479751028
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_03;1E_03;0.2668918286659716;-0.011479722670618352
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_03;1E_03;0.1853030256600663;-0.007477145403781459
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_03;1E_03;0.1252099414488672;-0.004867531539971714
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_04;1E_04;-0.08754863524232936;0.003764120168915432
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_04;1E_04;0.10177841225520456;-0.004320144389095299
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_04;1E_04;0.05591997531328996;-0.002613919698113288
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_04;1E_04;0.002449302496354555;-0.00017308603847091854
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_04;1E_04;-0.00904796040854805;0.00022119041668795632
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_05;1E_05;-0.1358586317785515;0.006400965216000954
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_05;1E_05;-0.17440697470900712;0.008214849127305237
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_05;1E_05;0.01252333859282917;-0.0001925236240615175
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_05;1E_05;0.01468153674972772;-0.0009642851647697891
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_05;1E_05;-0.1051869264571792;0.004594779577668651
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_06;1E_06;-0.019978467671488698;0.0007554067984069624
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_06;1E_06;-0.08358428157834163;0.003338939398732535
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_06;1E_06;-0.015144441496117711;0.0003459946195298237
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_06;1E_06;-0.15635784552759935;0.007244441158566123
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_06;1E_06;-0.047550578013311195;0.002018533214612369
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_07;1E_07;0.03263116984075776;-0.001324116431895664
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_07;1E_07;0.0;0.0
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_07;1E_07;0.0;0.0
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_07;1E_07;0.0;0.0
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_07;1E_07;0.0;0.0
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_03;1E_03;0.3988015902819164;-0.015453398329285623
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_03;1E_03;0.5783805511410112;-0.022628847302854468
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_03;1E_03;0.38526848829083526;-0.01491515654450495
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_03;1E_03;0.4648512981960229;-0.018287817495234254
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_03;1E_03;0.39669772047441487;-0.01554119820365088
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_04;1E_04;-0.02419840471284962;0.001357574830472911
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_04;1E_04;0.14407723252278792;-0.005541299739675546
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_04;1E_04;0.16112042337712573;-0.00611273370896138
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_04;1E_04;0.23780461927198626;-0.0091575041645328
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_04;1E_04;0.18849133198322043;-0.007200677155719794
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_05;1E_05;0.011680160598515066;-0.00012343244650453013
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_05;1E_05;-0.1607374103205661;0.0067149994526710085
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_05;1E_05;-0.005518956219996429;0.00048422406164549416
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_05;1E_05;0.20364679220725712;-0.00794479556054541
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_05;1E_05;0.13940996670886996;-0.005536608642677258
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_06;1E_06;0.010385391008149725;-0.00039488425220725483
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_06;1E_06;-0.04158744163843542;0.0017763209044217877
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_06;1E_06;0.16577723676449718;-0.006514020019863098
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_06;1E_06;0.05646020481917535;-0.0018182795384764808
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_06;1E_06;0.043773410244640765;-0.001422550377242714
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_07;1E_07;0.0;0.0
filt_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_07;1E_07;0.02551497333613817;-0.00095143773307731
