Approx Module;VVenC Profile;Video;Read BER;Write BER;BD-Rate;BD-PSNR
pred_inter_approx;randomaccess_medium;BQMall_832x480_60;0;0;0.0;0.0
pred_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_03;1E_03;-0.028352758013450163;0.0010875950303867387
pred_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_04;1E_04;-0.07894789387312695;0.0035745421675291763
pred_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_05;1E_05;-0.11613013686697649;0.005384809250505773
pred_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_06;1E_06;-0.015866874798864394;0.00067478562319119
pred_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_07;1E_07;-0.0007435093925201031;2.7494469981147896e-05
pred_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;0;0;0.0;0.0
pred_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_03;1E_03;0.04454217587426257;-0.0014143295641241215
pred_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_04;1E_04;-0.005306715507413795;0.0003818156543274885
pred_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_05;1E_05;0.13708649241386262;-0.00537133482035113
pred_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_06;1E_06;0.006870804824865573;-0.00027863252343345165
pred_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_07;1E_07;0.0;0.0
pred_inter_approx;randomaccess_medium;PartyScene_832x480_50;0;0;0.0;0.0
pred_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_03;1E_03;0.025527074826947604;-8.710354784699202e-05
pred_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_04;1E_04;-0.02952706502549196;0.002180497364791538
pred_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_05;1E_05;-0.020618187465848425;0.002210193190559545
pred_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_06;1E_06;-0.0544354679106962;0.003145269599675627
pred_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_07;1E_07;0.0;0.0
pred_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;0;0;0.0;0.0
pred_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_03;1E_03;0.1350197976480505;-0.005372160572135568
pred_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_04;1E_04;0.05905340235754508;-0.002350799690931333
pred_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_05;1E_05;0.01925534161189013;-0.0006727106045874433
pred_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_06;1E_06;-0.008077012758245239;0.00040414265788156663
pred_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_07;1E_07;0.001401225914277049;-5.197997144396202e-05
reco_inter_approx;randomaccess_medium;BQMall_832x480_60;0;0;0.0;0.0
reco_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_03;1E_03;0.09916834537504471;-0.004180902801721857
reco_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_04;1E_04;-0.05873930292098484;0.0027286670736976965
reco_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_05;1E_05;-0.10198942151433688;0.004729609565818255
