Approx Module;VVenC Profile;Video;Read BER;Write BER;QP;YUV-PSNR;Bitrate;Execution Time
filt_inter_approx;randomaccess_medium;PartyScene_832x480_50;0;0;37;29.6997;1415.0118;498.8268;
filt_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_03;1E_03;22;39.31554;10437.7647;13004.018399999999;
filt_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_03;1E_03;27;35.64588;5370.79998;10207.459200000001;
filt_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_03;1E_03;32;32.48764;2779.2188200000005;8366.916200000001;
filt_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_03;1E_03;37;29.709039999999998;1414.6070599999998;6834.8784;
filt_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_04;1E_04;22;39.318619999999996;10432.480039999999;12809.693;
filt_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_04;1E_04;27;35.655899999999995;5369.61882;10267.302599999999;
filt_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_04;1E_04;32;32.49132000000001;2783.94824;8456.810800000001;
filt_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_04;1E_04;37;29.701100000000004;1413.2799799999998;6861.984399999999;
filt_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_05;1E_05;22;39.319;10434.207059999999;12808.6454;
filt_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_05;1E_05;27;35.647059999999996;5370.5647;10302.075400000002;
filt_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_05;1E_05;32;32.494620000000005;2781.63298;8438.6582;
filt_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_05;1E_05;37;29.708620000000003;1414.95056;6839.981599999999;
filt_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_06;1E_06;22;39.320820000000005;10440.58826;12889.202;
filt_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_06;1E_06;27;35.64922;5364.381179999999;10293.336;
filt_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_06;1E_06;32;32.493520000000004;2783.67998;8431.8268;
filt_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_06;1E_06;37;29.70114;1414.30118;6852.5416;
filt_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_07;1E_07;22;39.316359999999996;10449.425899999998;12929.682;
filt_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_07;1E_07;27;35.6537;5360.8847000000005;10495.1896;
filt_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_07;1E_07;32;32.489320000000006;2785.2564599999996;8496.1356;
filt_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_07;1E_07;37;29.6997;1415.0118;6869.541;
filt_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;0;0;22;39.3948;4851.8682;1612.3776000000003;
filt_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;0;0;27;36.5861;2332.32;1005.3648000000001;
filt_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;0;0;32;33.8727;1183.4118;672.9144;
filt_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;0;0;37;31.195299999999996;584.0329;472.3358;
filt_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_03;1E_03;22;39.38444;4860.6720000000005;16338.7594;
filt_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_03;1E_03;27;36.57194;2335.0927199999996;12517.7818;
filt_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_03;1E_03;32;33.85156;1184.1995;10039.4256;
filt_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_03;1E_03;37;31.19454;585.00986;8502.521400000001;
