Approx Module;VVenC Profile;Video;Read BER;Write BER;QP;YUV-PSNR;Bitrate;Execution Time
ime_approx;randomaccess_medium;RaceHorses_416x240_30;1E_07;1E_07;37;30.4212;245.112;5689.320999999999;
intra_approx;randomaccess_medium;RaceHorses_416x240_30;0;0;22;40.0118;1600.104;1366.155;
intra_approx;randomaccess_medium;RaceHorses_416x240_30;0;0;27;36.3082;860.4;1064.2486000000001;
intra_approx;randomaccess_medium;RaceHorses_416x240_30;0;0;32;33.0357;459.7679999999999;684.9481999999999;
intra_approx;randomaccess_medium;RaceHorses_416x240_30;0;0;37;30.4212;245.112;474.9124;
intra_approx;randomaccess_medium;RaceHorses_416x240_30;1E_03;1E_03;22;39.988440000000004;1607.2415999999998;2189.8074;
intra_approx;randomaccess_medium;RaceHorses_416x240_30;1E_03;1E_03;27;36.25784;858.7343999999999;1804.0314000000003;
intra_approx;randomaccess_medium;RaceHorses_416x240_30;1E_03;1E_03;32;33.0578;459.69120000000004;1262.1808;
intra_approx;randomaccess_medium;RaceHorses_416x240_30;1E_03;1E_03;37;30.407339999999998;247.2576;1005.0964;
intra_approx;randomaccess_medium;RaceHorses_416x240_30;1E_04;1E_04;22;39.99872;1604.9376;2469.1094000000003;
intra_approx;randomaccess_medium;RaceHorses_416x240_30;1E_04;1E_04;27;36.25418;855.936;1750.1979999999999;
intra_approx;randomaccess_medium;RaceHorses_416x240_30;1E_04;1E_04;32;33.054779999999994;459.5232;1334.3754;
intra_approx;randomaccess_medium;RaceHorses_416x240_30;1E_04;1E_04;37;30.411739999999998;246.3168;976.5568;
intra_approx;randomaccess_medium;RaceHorses_416x240_30;1E_05;1E_05;22;40.00816;1604.9472;2472.7767999999996;
intra_approx;randomaccess_medium;RaceHorses_416x240_30;1E_05;1E_05;27;36.26082;854.6880000000001;1834.1986000000002;
intra_approx;randomaccess_medium;RaceHorses_416x240_30;1E_05;1E_05;32;33.06476;458.68320000000006;1332.5710000000001;
intra_approx;randomaccess_medium;RaceHorses_416x240_30;1E_05;1E_05;37;30.39542;245.5872;1036.1163999999999;
intra_approx;randomaccess_medium;RaceHorses_416x240_30;1E_06;1E_06;22;40.009519999999995;1601.88;2439.3324000000002;
intra_approx;randomaccess_medium;RaceHorses_416x240_30;1E_06;1E_06;27;36.26584;856.8816;1726.8756;
intra_approx;randomaccess_medium;RaceHorses_416x240_30;1E_06;1E_06;32;33.0314;459.41279999999995;1325.5456;
intra_approx;randomaccess_medium;RaceHorses_416x240_30;1E_06;1E_06;37;30.41386;245.4192;996.6987999999999;
intra_approx;randomaccess_medium;RaceHorses_416x240_30;1E_07;1E_07;22;40.012;1600.176;2362.0326;
intra_approx;randomaccess_medium;RaceHorses_416x240_30;1E_07;1E_07;27;36.29796;859.5935999999999;1731.3318;
intra_approx;randomaccess_medium;RaceHorses_416x240_30;1E_07;1E_07;32;33.0413;459.912;1232.6165999999998;
intra_approx;randomaccess_medium;RaceHorses_416x240_30;1E_07;1E_07;37;30.421219999999998;245.112;878.7046;
transf_approx;randomaccess_medium;RaceHorses_416x240_30;0;0;22;40.0118;1600.104;1515.4844;
transf_approx;randomaccess_medium;RaceHorses_416x240_30;0;0;27;36.3082;860.4;1267.4793999999997;
transf_approx;randomaccess_medium;RaceHorses_416x240_30;0;0;32;33.0357;459.7679999999999;883.3612;
transf_approx;randomaccess_medium;RaceHorses_416x240_30;0;0;37;30.4212;245.112;591.1488;
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_03;1E_03;22;35.114360000000005;1703.9376;9821.1676;
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_03;1E_03;27;33.174699999999994;906.5664;9401.552599999999;
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_03;1E_03;32;31.090179999999997;488.38559999999995;9033.430000000002;
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_03;1E_03;37;29.177039999999998;265.3056;8615.569;
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_04;1E_04;22;38.69704;1631.6736;10023.024999999998;
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_04;1E_04;27;35.5438;868.8048000000001;8169.868799999999;
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_04;1E_04;32;32.60358;464.77439999999996;6939.3368;
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_04;1E_04;37;30.14744;251.9136;5875.1378;
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_05;1E_05;22;39.8718;1611.6336;11873.8244;
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_05;1E_05;27;36.19112;855.4799999999999;9286.4256;
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_05;1E_05;32;32.99248;459.37919999999997;7294.1584;
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_05;1E_05;37;30.39008;246.2016;5691.5064;
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_06;1E_06;22;39.99435999999999;1603.8432;12314.721199999998;
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_06;1E_06;27;36.26628;857.1119999999999;9515.321399999999;
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_06;1E_06;32;33.03928;459.78240000000005;7309.5962;
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_06;1E_06;37;30.40664;245.50560000000004;5684.359399999999;
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_07;1E_07;22;40.003;1602.7296000000001;12148.158200000002;
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_07;1E_07;27;36.27118;857.8272000000001;9348.2678;
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_07;1E_07;32;33.04894;458.95680000000004;7295.3606;
transf_approx;randomaccess_medium;RaceHorses_416x240_30;1E_07;1E_07;37;30.420139999999996;245.40479999999997;5092.1774000000005;
